"","Alias","HI_Indiv","Mom","Sex","BirthYear","Demons_HI_forage"
"267","CRKS",0,NA,NA,NA,"no"
"268","CRUM",0,NA,NA,NA,"no"
"269","CSH3",0,"SHTC",NA,"2000","no"
"270","CSPD",0,NA,NA,NA,"no"
"271","CTA3",0,"TAL3",NA,NA,"no"
"272","CTS2",0,"TSMV",NA,"1996","no"
"273","CTS3",0,"TSMV","Male","1999","no"
"274","CTS4",0,"TSMV",NA,"2008","no"
"275","CTS5",0,"TSMV",NA,"2014","no"
"276","CTSM",0,"TSMV","Probable Female","1989?","no"
"277","CTW1",0,"CATW",NA,NA,"no"
"278","CTW2",0,"CATW",NA,NA,"no"
"279","CTW3",0,"CATW",NA,NA,"no"
"280","CW32",0,"CWM3",NA,"2012","no"
"281","CW3C",0,"CWM3",NA,"2006","no"
"282","CWM3",0,"WTMA","Probable Female","1991","no"
"283","CWM4",0,"WTMA",NA,"1995","no"
"284","CYEL",0,"YELP",NA,NA,"no"
"285","DAB1",0,"DABL","Male","2010","no"
"286","DAB2",1,"DABL",NA,"2013","no"
"287","DABL",1,NA,"Female",NA,"no"
"288","DAD2",0,"DADA",NA,NA,"no"
"289","DADA",0,NA,"Probable Female",NA,"no"
"290","DADC",0,"DADA",NA,NA,"no"
"291","DAF1",0,"DAFT",NA,"2008","no"
"292","DAF2",0,"DAFT",NA,NA,"no"
"293","DAFT",0,NA,"Female",NA,"no"
"294","DAIN",0,"PLUG","Female",NA,"no"
"295","DBHN",0,NA,NA,NA,"no"
"296","DEDO",0,NA,"Probable Female",NA,"no"
"297","DIGT",0,NA,"Male",NA,"no"
"298","DIL1",0,"DILL",NA,NA,"no"
"299","DILL",0,NA,"Probable Female",NA,"no"
"300","DIPT",0,NA,"Male","1973","no"
"301","DMDI",0,NA,NA,NA,"no"
"302","DRAC",0,NA,"Probable Female",NA,"no"
"303","DRAY",0,NA,"Female",NA,"no"
"304","DRBY",0,NA,NA,NA,"no"
"305","DRM1",0,"DRMS",NA,NA,"no"
"306","DRMS",0,NA,"Probable Female",NA,"no"
"307","DRSN",1,NA,"Female",NA,"no"
"308","DTHB",0,NA,NA,NA,"no"
"309","DUDE",0,NA,"Probable Female",NA,"no"
"310","EAS1",0,"EASY",NA,"2008","no"
"311","EASY",0,NA,"Probable Female",NA,"no"
"312","EFHT",0,NA,NA,NA,"no"
"313","ELFF",1,NA,"Male",NA,"no"
"314","ELIP",0,NA,NA,NA,"no"
"315","EQDT",0,NA,NA,NA,"no"
"316","ETM2",0,"ETMA",NA,NA,"no"
"317","ETMA",0,NA,"Probable Female",NA,"no"
"318","ETSC",0,NA,NA,NA,"no"
"319","F100",0,"FB83","Male","1989","no"
"320","F101",1,"F153","Female","1990","no"
"321","F102",0,"F105","Male","1980","no"
"322","F104",0,NA,"Male","1982","no"
"323","F105",0,NA,"Female","1962","no"
"324","F106",1,"F191","Male","1981","no"
"325","F107",0,NA,"Female","1984","no"
"326","F108",1,NA,"Male","1978","no"
"327","F109",1,"FB79","Female","1995","no"
"328","F110",0,NA,"Male","1984","no"
"329","F111",0,NA,"Female","1968","no"
"330","F112",0,NA,"Male","1951","no"
