"","Date","Year","Code","StartLon","StartLat","DiffHI","HAB_time"
"75853","2011-03-17",2011,"BEGR",-82.48812,27.17033,"SD",2
"75916","2011-03-19",2011,"BEGR",-82.47903,27.15372,"SD",2
"75923","2011-03-20",2011,"BEGR",-82.47932,27.15392,"SD",2
"75953","2011-03-21",2011,"FB78",-82.56643,27.32315,"SD",2
"76020","2011-03-25",2011,"BEGR",-82.47083,27.14049,"SD",2
"76029","2011-03-25",2011,"BEGR",-82.49152,27.17442,"SD",2
"76032","2011-03-26",2011,"BEGR",-82.47172,27.14263,"SD",2
"76033","2011-03-26",2011,"BEGR",-82.47172,27.14263,"SD",2
"76111","2011-04-02",2011,"BEGR",-82.46981,27.13104,"SD",2
"76112","2011-04-02",2011,"BEGR",-82.46981,27.13104,"SD",2
"76602","2011-04-16",2011,"BEGR",-82.49442,27.1792,"SD",2
"76672","2011-04-29",2011,"BEGR",-82.46948,27.12913,"SD",2
"76673","2011-04-29",2011,"BEGR",-82.46948,27.12913,"SD",2
"76832","2011-05-09",2011,"F264",-82.55346,27.3051,"FG",2
"76833","2011-05-09",2011,"F266",-82.55346,27.3051,"FG",2
"76843","2011-05-09",2011,"F266",-82.5556,27.30434,"FG",2
"77930","2011-07-20",2011,"F211",-82.54806,27.29018,"FG",2
"78475","2011-09-14",2011,"1651",-82.7225,27.53817,"SD",2
"78476","2011-09-14",2011,"F165",-82.7225,27.53817,"SD",2
"78477","2011-09-14",2011,"F222",-82.7225,27.53817,"SD",2
"78478","2011-09-14",2011,"FB66",-82.7225,27.53817,"SD",2
"78479","2011-09-14",2011,"1651",-82.7225,27.53817,"SD",2
"78480","2011-09-14",2011,"F165",-82.7225,27.53817,"SD",2
"78481","2011-09-14",2011,"F222",-82.7225,27.53817,"SD",2
"78482","2011-09-14",2011,"FB66",-82.7225,27.53817,"SD",2
"78514","2011-09-15",2011,"F238",-82.58999,27.32266,"SD",2
"78963","2011-11-09",2011,"1315",-82.54167,27.31282,"FG",2
"79027","2011-11-10",2011,"F256",-82.55108,27.29726,"FG",2
"79358","2011-12-16",2011,"F108",-82.47814,27.15261,"SD",2
"80026","2012-03-09",2012,"JETY",-82.45279,27.07142,"SD",2
"80027","2012-03-09",2012,"JETY",-82.45279,27.07142,"SD",2
"80034","2012-03-09",2012,"RY34",-82.47032,27.11173,"SD",2
"80148","2012-03-15",2012,"1092",-82.5899,27.32156,"SD",2
"80149","2012-03-15",2012,"C834",-82.5899,27.32156,"SD",2
"80150","2012-03-15",2012,"F109",-82.5899,27.32156,"SD",2
"81007","2012-05-18",2012,"F193",-82.49939,27.19733,"SD",2
"81198","2012-05-23",2012,"F159",-82.7007,27.51983,"FG",2
"81200","2012-05-23",2012,"F233",-82.7007,27.51983,"FG",2
"82530","2012-08-09",2012,"F197",-82.65471,27.49144,"FG",2
"82900","2012-09-14",2012,"F199",-82.49908,27.1954,"FG",2
"83007","2012-10-01",2012,"F232",-82.73067,27.53545,"SD",2
"83008","2012-10-01",2012,"F232",-82.73067,27.53545,"SD",2
"83293","2012-10-17",2012,"C834",-82.66328,27.40994,"FG",2
"83296","2012-10-17",2012,"C834",-82.67698,27.419,"SD",2
"83297","2012-10-17",2012,"C834",-82.67698,27.419,"SD",2
"83491","2012-11-05",2012,"SCS2",-82.46941,27.11079,"SD",2
"83492","2012-11-05",2012,"SCSM",-82.46941,27.11079,"SD",2
"83815","2012-12-03",2012,"F221",-82.50237,27.20758,"SD",2
"83942","2012-12-06",2012,"B207",-82.52225,27.22293,"FG",2
"83943","2012-12-06",2012,"KRSN",-82.52225,27.22293,"FG",2
"83944","2012-12-06",2012,"TNBP",-82.52225,27.22293,"FG",2
"83945","2012-12-06",2012,"YOKE",-82.52225,27.22293,"FG",2
"84030","2012-12-07",2012,"1651",-82.68312,27.47877,"SD",2
