"","Code","Freq_bg","Freq_fg","Freq_sd"
"PMTI","PMTI",0,0,0
"PN04","PN04",0,0,0
"PN05","PN05",0,0,0
"PNB3","PNB3",0,0,0
"PNBT","PNBT",0,0,0
"PNKD","PNKD",0,0,0
"PNTB","PNTB",0,0,0
"POCO","POCO",0,0,0
"POOF","POOF",0,0,0
"PPSL","PPSL",0,0,0
"PRF2","PRF2",0,0,0
"PRFR","PRFR",0,0,0
"PROF","PROF",0,0,0
"PRST","PRST",0,0,0
"PSC3","PSC3",0,0,0
"PSC5","PSC5",0,0,0
"PSDQ","PSDQ",0,0,0
"PUMP","PUMP",0,0,0
"Q5LA","Q5LA",0,0,0
"QECD","QECD",0,0,0
"QUIN","QUIN",0,0,0
"R27L","R27L",0,0,0
"RCCR","RCCR",0,0,0
"RCN2","RCN2",0,0,0
"RCNM","RCNM",0,0,0
"RMPL","RMPL",0,0,0
"RMUS","RMUS",0,0,0
"ROOS","ROOS",NA,NA,NA
"RPIA","RPIA",0,0,0
"RTM2","RTM2",0,0,0
"RTM3","RTM3",0,0,0
"RTMW","RTMW",0,0,0
"RUFF","RUFF",0,0,0
"RY34","RY34",0,0,0.00675675675675676
"RZLR","RZLR",0,0,0
"SBDO","SBDO",0,0,0
"SBOK","SBOK",0,0,0
"SBPE","SBPE",0,0,0
"SBUK","SBUK",0,0,0
"SCBT","SCBT",0,0,0
"SCS1","SCS1",0,0,0
"SCS2","SCS2",0,0,0
"SCSM","SCSM",0,0,0.0869565217391304
"SCTN","SCTN",0,0,0
"SEE1","SEE1",0,0,0
"SGL1","SGL1",0,0,0
"SGLA","SGLA",0,0,0
"SGPP","SGPP",0,0,0
"SHOT","SHOT",0,0,0
"SHTC","SHTC",0,0,0
"SIM2","SIM2",0,0,0
"SIMP","SIMP",0,0,0
"SLJ1","SLJ1",0,0,0
"SLJY","SLJY",0,0,0
"SLLA","SLLA",0,0,0
"SNOT","SNOT",0,0,0
"SOLB","SOLB",0,0,0
"SOLS","SOLS",0,0,0
"SOPO","SOPO",0,0,0
"SPTL","SPTL",0,0,0
"SQBT","SQBT",0,0,0
"SRDO","SRDO",0,0,0
"SRFR","SRFR",0,0,0
"STE2","STE2",0,0,0
"STEW","STEW",0,0,0
"STKY","STKY",0,0,0
"SUFL","SUFL",0,0,0
"SUMO","SUMO",0,0,0
"TABB","TABB",0,0,0
"TAC2","TAC2",0,0,0
"TAL2","TAL2",0,0,0
"TAL3","TAL3",0,0,0
"TBEL","TBEL",0,0,0
"TCTV","TCTV",0,0,0
"TDT2","TDT2",NA,NA,NA
"TDTC","TDTC",0,0.0833333333333333,0
"TDTL","TDTL",0,0,0
"TEEN","TEEN",0,0,0
"TEKK","TEKK",0,0,0
"TELE","TELE",0,0,0
"THNM","THNM",0,0,0
"THOC","THOC",0,0,0
"THOR","THOR",0,0,0
"THTH","THTH",0,0,0
"THUB","THUB",0,0,0
"TKID","TKID",0,0,0
"TMHK","TMHK",NA,NA,NA
"TML1","TML1",0,0,0
"TMLT","TMLT",0,0,0
"TMSP","TMSP",0,0,0
"TNBP","TNBP",0,0.153846153846154,0
"TNSC","TNSC",0,0,0
"TRIF","TRIF",0,0,0
"TRIM","TRIM",0,0,0
"TRLI","TRLI",0,0,0
"TRM1","TRM1",0,0,0
"TRTA","TRTA",0,0,0
"TSMV","TSMV",0,0,0
"TTA2","TTA2",0,0,0
"TTM3","TTM3",0,0,0
"TTOO","TTOO",0,0,0
"TWHN","TWHN",0,0,0
"ULRU","ULRU",0,0,0
"ULY2","ULY2",0,0,0.142857142857143
"ULY4","ULY4",0,0,0
"ULYS","ULYS",0,0,0
"UND2","UND2",0,0,0
"UNDG","UNDG",0,0,0
"UPBK","UPBK",0,0,0
"VAIL","VAIL",0,0,0
"VANB","VANB",0,0,0
"VCRO","VCRO",0,0,0.25
"VCUM","VCUM",0,0,0
"VIZZ","VIZZ",0,0,0
"VLKA","VLKA",0,0,0
"VOLD","VOLD",0,0,0
"VRIP","VRIP",0,0,0
"VRLA","VRLA",0,0,0
"VSTH","VSTH",0,0,0
"WALT","WALT",0,0,0
"WAN1","WAN1",0,0,0
"WAND","WAND",0,0,0
"WEBS","WEBS",0,0,0
"WENT","WENT",0,0,0
"WHOO","WHOO",0,0,0
"WHYY","WHYY",0,0,0
"WIFF","WIFF",0,0,0
"WINN","WINN",0,0.2,0
"WINS","WINS",0,0,0
"WLDC","WLDC",0,0,0
"WLET","WLET",0,0,0.0526315789473684
"WORM","WORM",0,0,0
"WRTH","WRTH",0,0,0
"WTAB","WTAB",0,0,0
"WTKN","WTKN",0,0,0
"WTMA","WTMA",0,0,0
"WTMS","WTMS",0,0,0
"YANK","YANK",0,0,0.0588235294117647
"YELP","YELP",0,0,0
"YOKE","YOKE",0,0.0588235294117647,0
"ZEDC","ZEDC",0,0,0
"ZEL2","ZEL2",0,0,0
"ZEL3","ZEL3",0,0,0
"ZELD","ZELD",0,0,0
"ZENN","ZENN",0,0,0
"ZIPP","ZIPP",0,0,0
"ZRBA","ZRBA",0,0,0
