"","id","sex"
"716","OPAL",1
"717","OPTP",1
"718","ORNG",1
"719","OTH_1083",1
"720","OTH_183",1
"721","OTH_230",1
"722","OTH_295",1
"723","OTH_376",1
"724","OTH_378",1
"725","OTH_503",1
"726","OTH_506",1
"727","OTH_519",1
"728","OTH_561",1
"729","OTH_590",1
"730","OTH_597",1
"731","OTH_602",1
"732","OTH_605",1
"733","OTH_606",1
"734","OTH_607",1
"735","OTH_609",1
"736","OTH_612",1
"737","OTH_702",1
"738","OTH_894",1
"739","OTH_906",1
"740","OTH_984",1
"741","P3C1",1
"742","P3C2",1
"743","P3SP",1
"744","PAL1",1
"745","PDFT",1
"746","PECK",1
"747","PHIL",0
"748","PHIN",0
"749","PHL1",1
"750","PHL2",0
"751","PHNE",1
"752","PIL1",1
"753","PILA",0
"754","PITA",1
"755","PLG2",1
"756","PLUG",0
"757","PMID",1
"758","PMTI",1
"759","PN05",0
"760","PNB2",1
"761","PNB3",1
"762","PNBC",0
"763","PNBS",0
"764","PNBT",0
"765","PNGS",1
"766","PNKD",1
"767","PNTB",0
"768","POCO",1
"769","POLV",0
"770","POOF",1
"771","PORT",0
"772","PPS1",1
"773","PPSL",0
"774","PRF2",1
"775","PRF3",1
"776","PRF4",1
"777","PRFC",1
"778","PRFR",0
"779","PRN2",0
"780","PROF",1
"781","PRST",1
"782","PSC3",0
"783","PSC4",1
"784","PSC5",1
"785","PSC6",1
"786","PSC7",1
"787","PSD2",1
"788","PSDQ",0
"789","PUMP",1
"790","Q5LA",1
"791","QECD",0
"792","QUIN",0
"793","R27L",1
"794","RCCR",1
"795","RCN2",1
"796","RCNM",0
"797","RFIO",1
"798","RFNT",0
"799","RLTY",1
"800","RMPL",1
"801","RMUS",1
"802","ROOS",1
"803","ROSS",1
"804","RPIA",1
"805","RSFG",1
"806","RT90",0
"807","RT92",1
"808","RTM2",1
"809","RTM3",0
"810","RTM4",1
"811","RTM5",1
"812","RTMW",0
"813","RUF2",1
"814","RUFF",1
"815","RY34",0
"816","RZLR",1
"817","SBDO",0
"818","SBOK",1
"819","SBPE",1
"820","SBPN",1
"821","SBUK",0
"822","SCBT",1
"823","SCNE",1
"824","SCS1",0
"825","SCS2",0
"826","SCSM",0
"827","SCTN",0
"828","SCUP",1
"829","SDSW",1
"830","SEE1",1
"831","SEWL",1
"832","SGDM",1
"833","SGL1",1
"834","SGLA",0
"835","SGPP",0
"836","SHBT",1
"837","SHNU",1
"838","SHOT",0
"839","SHTC",0
"840","SIM1",1
"841","SIM2",1
"842","SIMP",0
"843","SKYE",1
"844","SLIT",0
"845","SLJ1",1
"846","SLJY",1
"847","SLLA",0
"848","SMUS",1
"849","SNOT",1
"850","SOFA",1
"851","SOGG",0
"852","SOLB",0
"853","SOLS",1
"854","SOPO",1
"855","SPAC",0
"856","SPEC",1
"857","SPLA",1
"858","SQBT",0
"859","SRDO",1
"860","SRFR",1
"861","SSHK",1
"862","STE1",1
"863","STE2",1
