id_individual,HI,Demons_HI_forage,HI_Order_acquisition,Mom_known
TRG,no,NA,NA,no
TRI,yes,yes,3,no
TRN,no,NA,NA,yes
TRO,no,NA,NA,no
TRU,no,NA,NA,no
TRY,no,NA,NA,no
TTS,no,NA,NA,no
TUK,yes,yes,25,no
TUN,yes,yes,55,no
TUP,no,NA,NA,no
TUR,no,NA,NA,no
TWI,no,NA,NA,no
TYL,no,NA,NA,yes
TYS,no,NA,NA,no
ULL,no,NA,NA,no
ULY,no,NA,NA,yes
UMI,no,NA,NA,yes
UST,no,NA,NA,no
UTA,no,NA,NA,yes
UTP,no,NA,NA,no
UWE,no,NA,NA,no
VAL,no,NA,NA,no
VAN,no,NA,NA,yes
VAS,no,NA,NA,no
VEA,no,NA,NA,no
VEN,yes,no,75,no
VET,no,NA,NA,yes
VIC,no,NA,NA,no
VIN,yes,yes,5,no
VIO,no,NA,NA,yes
VIR,no,NA,NA,yes
VIT,no,NA,NA,no
VJA,no,NA,NA,no
VLA,no,NA,NA,no
VNS,no,NA,NA,no
VOL,no,NA,NA,no
WAA,no,NA,NA,no
WAH,no,NA,NA,no
WAK,no,NA,NA,yes
WAL,no,NA,NA,yes
WAR,no,NA,NA,no
WCO,no,NA,NA,no
WER,no,NA,NA,no
WHI,yes,yes,53,no
WHS,no,NA,NA,yes
WIL,no,NA,NA,yes
WIM,no,NA,NA,no
WIN,no,NA,NA,no
WIT,yes,yes,60,no
WIZ,no,NA,NA,no
WLW,no,NA,NA,yes
WMX,no,NA,NA,no
WOB,no,NA,NA,no
WOE,no,NA,NA,yes
WOO,no,NA,NA,no
WTR,no,NA,NA,no
XAV,no,NA,NA,no
YAB,no,NA,NA,no
YAL,no,NA,NA,no
YAR,no,NA,NA,yes
YOU,no,NA,NA,yes
ZAC,no,NA,NA,no
ZAD,no,NA,NA,no
ZAP,no,NA,NA,yes
ZAR,no,NA,NA,no
ZAZ,no,NA,NA,no
ZEB,no,NA,NA,no
ZED,no,NA,NA,no
ZEN,no,NA,NA,no
ZEU,no,NA,NA,no
ZMT,no,NA,NA,yes
ZOL,no,NA,NA,no
ZOR,no,NA,NA,no
