IndividualsFID,Alias,Sex,BirthYear,DeathYear,Mom,FirstSighted,FirstSighted_Begin1993,LastSighted_End2014,HI_Indiv,Year_Confirmed,First_HI_Type,HI_Injury,Year_of_Injury,Injury_Type
3260,BRD3,Male,2001,NA,BRDO,15-Oct-01,15-Oct-01,05-Dec-14,1,2013,A,0,NA,NA
1008,BRDO,Female,1972,2004,NA,06-Oct-89,17-Aug-93,04-Dec-03,1,1996,F,0,NA,NA
4066,BREA,NA,NA,NA,NA,14-Jan-10,14-Jan-10,13-Feb-11,0,NA,NA,0,NA,NA
3728,BRIS,Female,NA,NA,NA,21-May-04,21-May-04,26-Sep-08,0,NA,NA,0,NA,NA
5170,BRN1,NA,NA,NA,BRAN,03-Sep-13,03-Sep-13,02-Sep-14,0,NA,NA,0,NA,NA
2547,BTCH,NA,NA,NA,NA,28-Aug-96,28-Aug-96,19-Aug-00,0,NA,NA,0,NA,NA
1347,BTHS,Probable Male,NA,NA,NA,10-Sep-90,22-Sep-93,03-Jul-12,0,NA,NA,0,NA,NA
971,BTHV,NA,NA,NA,NA,29-Sep-89,25-May-94,12-Jan-98,0,NA,NA,0,NA,NA
909,BTLE,Probable Female,NA,NA,NA,13-Sep-89,27-Jun-95,11-Jun-02,0,NA,NA,0,NA,NA
1348,BTLN,Probable Female,NA,NA,NA,10-Sep-90,18-May-93,16-Aug-05,0,NA,NA,0,NA,NA
828,BTM2,NA,NA,NA,NA,12-Oct-88,24-Sep-93,13-Dec-04,0,NA,NA,0,NA,NA
1682,BTMV,NA,NA,NA,NA,12-Sep-91,26-Jul-96,26-Jul-96,0,NA,NA,0,NA,NA
3000,BTTC,NA,NA,NA,BTTV,04-Jul-99,04-Jul-99,04-Jul-99,0,NA,NA,0,NA,NA
880,BTTV,Probable Female,NA,NA,NA,09-Sep-89,11-Feb-93,11-Jul-99,0,NA,NA,0,NA,NA
3061,BTWO,NA,NA,NA,NA,31-Jul-00,31-Jul-00,04-Dec-13,0,NA,NA,0,NA,NA
2771,BUMI,NA,NA,NA,NA,17-Dec-97,17-Dec-97,17-Dec-97,0,NA,NA,0,NA,NA
1432,BUZL,NA,NA,NA,NA,17-Oct-90,21-Sep-93,11-Sep-06,0,NA,NA,0,NA,NA
1935,C072,Female,1993,1993,FB07,29-Jun-93,29-Jun-93,29-Jun-93,0,NA,NA,0,NA,NA
