"","model","type","netCombo","baseline","CONS.s1","CONS.s2","CONS.s3","CONS.ASOC.Sex","CONS.ASOC.Age","CONS.SOCIAL.Sex","CONS.SOCIAL.Age","CONS.A.S.Sex","CONS.A.S.Age","OFFs1","OFFs2","OFFs3","OFFASOC.Sex","OFFASOC.Age","OFFSOCIAL.Sex","OFFSOCIAL.Age","OFFA.S.Sex","OFFA.S.Age","convergence","loglik","s1","s2","s3","ASOCIALSex","ASOCIALAge","SOCIALSex","SOCIALAge","SEs1","SEs2","SEs3","SEasocialSex","SEasocialAge","SEsocialSex","SEsocialAge","aic","aicc","deltaAICc","RelSupport","AkaikeWeight"
"67",67,"asocial","0:0:0",NA,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252752,0,0,0,-0.606623846780792,0.015446904309503,0,NA,0,0,0,0.239044453913032,0.0121405122158642,0,NA,622.180284505504,622.354197548982,43.515615846739,3.55389081156129e-10,6.98173311107298e-11
"68",68,"asocial","0:0:0",NA,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252752,0,0,0,-0.606623846780792,0.015446904309503,NA,0,0,0,0,0.239044453913032,0.0121405122158642,NA,0,622.180284505504,622.354197548982,43.515615846739,3.55389081156129e-10,6.98173311107298e-11
"105",105,"asocial","0:0:0",NA,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252752,0,0,0,-0.606623846780792,0.015446904309503,0,0,0,0,0,0.239044453913032,0.0121405122158642,0,0,622.180284505504,622.354197548982,43.515615846739,3.55389081156129e-10,6.98173311107298e-11
"118",118,"additive","1:0:0",NA,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.454700561222,0.717831693342504,0,0,-0.618107507622457,0,0,0,0.911871990797672,0,0,0.241962722841283,0,0,0,622.909401122444,623.083314165923,44.2447324636797,2.46818903643705e-10,4.8488369603312e-11
"109",109,"additive","0:0:1",NA,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.95279825447,0,0,0,-0.624805615222199,0,0,0,0,0,0.0140079865935977,0.264104050895705,0,0,0,623.90559650894,624.079509552418,45.240927850175,1.49988284969215e-10,2.94656822892815e-11
"74",74,"additive","0:0:1",NA,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252751,0,0,0,-0.606623846780791,0.0154469043095031,0,0,0,0,NA,NA,NA,0,0,624.180284505503,624.533225681973,45.6946439797305,1.19545747940225e-10,2.34851477137976e-11
"80",80,"additive","0:1:0",NA,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252752,0,0.00218051436521892,0,-0.606623866540859,0.0154469050401191,0,0,0,NA,0,NA,NA,0,0,624.180284505504,624.533225681974,45.6946439797314,1.1954574794017e-10,2.3485147713787e-11
"90",90,"additive","1:0:0",NA,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.090142252752,0.0230837451484853,0,0,-0.606623938821296,0.0154469031267708,0,0,NA,0,0,NA,NA,0,0,624.180284505504,624.533225681974,45.6946439797314,1.1954574794017e-10,2.3485147713787e-11
"89",89,"unconstrained","1:0:0",NA,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,309.40804534584,0.493671128146988,0,0,-0.624988363862334,0,0.767649343063091,0,1.09103328238336,0,0,0.243139203605548,0,2.65229674496765,0,624.81609069168,625.16903186815,46.3304501659075,8.69902490923396e-11,1.70895149747625e-11
"88",88,"unconstrained","1:0:0",NA,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,FALSE,309.430082198445,1.10385245692333e-05,0,0,-0.617204453933949,0,0,0.00557851497502428,NA,0,0,NA,0,0,NA,624.86016439689,625.21310557336,46.3745238711174,8.50942257175834e-11,1.67170350681812e-11
