"","Mom","Alias","BirthYear","Depart"
"510",NA,"FB43",1966,1972
"511",NA,"FB44",1973,1979
"512",NA,"FB46",1978,1984
"513",NA,"FB48",1959,1965
"516",NA,"FB54",1971,1977
"517","FB05","FB55",1986,1992
"518",NA,"FB57",1952,1958
"519",NA,"FB58",1964,1970
"520","FB19","FB59",1974,1980
"521",NA,"FB60",1960,1966
"522","FB63","FB62",1973,1979
"523",NA,"FB63",1954,1960
"524","FB67","FB65",1983,1989
"525",NA,"FB66",1976,1982
"526",NA,"FB68",1976,1982
"527",NA,"FB70",1985,1991
"528",NA,"FB71",1961,1967
"529",NA,"FB73",1985,1991
"530",NA,"FB75",1974,1980
"531",NA,"FB76",1977,1983
"532",NA,"FB78",1972,1978
"533",NA,"FB79",1979,1985
"534",NA,"FB83",1950,1956
"535",NA,"FB84",1958,1964
"536",NA,"FB87",1977,1983
"537",NA,"FB89",1971,1977
"538",NA,"FB90",1970,1976
"539","FB84","FB92",1988,1994
"540","FB35","FB93",1985,1991
"541",NA,"FB94",1970,1976
"542",NA,"FB96",1958,1964
"543",NA,"FB98",1953,1959
"544",NA,"FB99",1987,1993
"545",NA,"FEAT",1985,1991
"546",NA,"FINS",1985,1991
"548",NA,"FJSL",1985,1991
"549",NA,"FLBB",1985,1991
"550",NA,"FLCR",1985,1991
"551",NA,"FLDG",1985,1991
"552",NA,"FLEA",1985,1991
"553",NA,"FLTP",1985,1991
"554",NA,"FNIS",1985,1991
"555",NA,"FRGG",1985,1991
"556",NA,"FRGI",1985,1991
"557","FRNG","FRN2",1985,1991
"558","FRNG","FRN3",1985,1991
"559","FRNG","FRNC",1985,1991
"560",NA,"FRNG",1985,1991
"561",NA,"FRNZ",1985,1991
"562",NA,"FRPT",1985,1991
"563",NA,"FTHS",1985,1991
"564",NA,"FTLB",1985,1991
"565",NA,"FUDD",1985,1991
"566","FZJS","FZJ1",2008,2014
"567","FZJS","FZJ2",1985,1991
"568",NA,"FZJS",1985,1991
"569",NA,"GLOS",1985,1991
"570",NA,"GPHK",1985,1991
"571",NA,"GPPY",1985,1991
"572",NA,"GRC1",1985,1991
"573",NA,"GRC2",1985,1991
"574",NA,"GRGO",1985,1991
"575",NA,"GRPS",1985,1991
"576","GRWW","GRW1",1985,1991
"577","GRWW","GRW2",2007,2013
"578","GRWW","GRW3",1985,1991
"579",NA,"GRWW",1985,1991
"580",NA,"GSKN",1985,1991
"581",NA,"GTFG",1985,1991
"582",NA,"GWEN",1985,1991
"584",NA,"HAAK",1985,1991
"585",NA,"HAIR",1985,1991
"586",NA,"HAMM",1985,1991
"587",NA,"HAN2",1985,1991
"589",NA,"HANG",1985,1991
"590","F237","HAWC",1999,2005
"591",NA,"HBM1",2001,2007
"592","HBMB","HBM2",1985,1991
"593","HBMB","HBM3",2009,2015
"594","HBMB","HBM4",1985,1991
"595",NA,"HBMB",1985,1991
"596",NA,"HBUT",1985,1991
"597",NA,"HDMM",1985,1991
"598",NA,"HDSK",1985,1991
"600",NA,"HFLT",1985,1991
"601",NA,"HILB",1985,1991
"602","HIPM","HIPC",1985,1991
"603",NA,"HIPM",1985,1991
"604",NA,"HIQQ",1985,1991
"605",NA,"HITS",1985,1991
"606","HAIR","HLP3",2009,2015
"607","HAIR","HLP4",2010,2016
"608","HAIR","HLPC",2000,2006
"609","HMLT","HML2",1985,1991
"610","HMLT","HMLC",1985,1991
"611",NA,"HMLS",1985,1991
"612","TSMV","HMLT",1985,1991
"613","HMMM","HMMC",2005,2011
"614",NA,"HMMM",1985,1991
"615",NA,"HMTN",1985,1991
"616","HNBT","HNB2",1985,1991
"618",NA,"HNBT",1985,1991
"619",NA,"HNSC",1985,1991
"620","HOKA","HOK1",1985,1991
"621","HOKA","HOK2",1985,1991
"622",NA,"HOKA",1985,1991
"623",NA,"HOOV",1985,1991
"624","HOVA","HOV2",1985,1991
"625",NA,"HOVA",1985,1991
"626","HOVA","HOVC",2005,2011
