"","trial","id","t_weight"
"689",1,"MTSS",0
"690",1,"MTWO",0
"691",1,"MUBT",0
"692",1,"MVON",0
"693",1,"MYST",0
"694",1,"NACK",0
"695",1,"NADW",0
"696",1,"NANA",0
"697",1,"NHNK",0
"698",1,"NIB2",0
"699",1,"NIGT",0
"700",1,"NIK2",0
"701",1,"NIP2",0
"702",1,"NIPP",0
"703",1,"NKAL",0
"704",1,"NKL2",0
"705",1,"NKLD",0
"706",1,"NKLN",0
"707",1,"NKNN",0
"708",1,"NKS1",0
"709",1,"NKSH",0
"710",1,"NLPS",0
"711",1,"NOMS",0
"712",1,"NPK1",0
"713",1,"NPKR",0
"714",1,"OIEA",0
"715",1,"OINK",0
"716",1,"OPAL",0
"717",1,"OPTP",0
"718",1,"ORNG",0
"719",1,"OTH_1083",0
"720",1,"OTH_183",0
"721",1,"OTH_230",0
"722",1,"OTH_295",0
"723",1,"OTH_376",0
"724",1,"OTH_378",0
"725",1,"OTH_503",0
"726",1,"OTH_506",0
"727",1,"OTH_519",0
"728",1,"OTH_561",0
"729",1,"OTH_590",0
"730",1,"OTH_597",0
"731",1,"OTH_602",0
"732",1,"OTH_605",0
"733",1,"OTH_606",0
"734",1,"OTH_607",0
"735",1,"OTH_609",0
"736",1,"OTH_612",0
"737",1,"OTH_702",0
"738",1,"OTH_894",0
"739",1,"OTH_906",0
"740",1,"OTH_984",0
"741",1,"P3C1",0
"742",1,"P3C2",0
"743",1,"P3SP",0
"744",1,"PAL1",0
"745",1,"PDFT",0
"746",1,"PECK",0
"747",1,"PHIL",0
"748",1,"PHIN",0
"749",1,"PHL1",0
"750",1,"PHL2",0
"751",1,"PHNE",0
"752",1,"PIL1",0
"753",1,"PILA",0
"754",1,"PITA",0
"755",1,"PLG2",0
"756",1,"PLUG",0
"757",1,"PMID",0
"758",1,"PMTI",0
"759",1,"PN05",0
"760",1,"PNB2",0
"761",1,"PNB3",0
"762",1,"PNBC",0
"763",1,"PNBS",0
"764",1,"PNBT",0
"765",1,"PNGS",0
"766",1,"PNKD",0
"767",1,"PNTB",0
"768",1,"POCO",0
"769",1,"POLV",0
"770",1,"POOF",0
"771",1,"PORT",0
"772",1,"PPS1",0
"773",1,"PPSL",0
"774",1,"PRF2",0
"775",1,"PRF3",0
"776",1,"PRF4",0
"777",1,"PRFC",0
"778",1,"PRFR",0
"779",1,"PRN2",0
"780",1,"PROF",0
"781",1,"PRST",0
"782",1,"PSC3",0
"783",1,"PSC4",0
"784",1,"PSC5",0
"785",1,"PSC6",0
"786",1,"PSC7",0
"787",1,"PSD2",0
"788",1,"PSDQ",0
"789",1,"PUMP",0
"790",1,"Q5LA",0
"791",1,"QECD",0
"792",1,"QUIN",0
"793",1,"R27L",0
"794",1,"RCCR",0
"795",1,"RCN2",0
"796",1,"RCNM",0
"797",1,"RFIO",0
"798",1,"RFNT",0
"799",1,"RLTY",0
"800",1,"RMPL",0
"801",1,"RMUS",0
"802",1,"ROOS",0
"803",1,"ROSS",0
"804",1,"RPIA",0
"805",1,"RSFG",0
"806",1,"RT90",0
"807",1,"RT92",0
"808",1,"RTM2",0
"809",1,"RTM3",0
"810",1,"RTM4",1
"811",1,"RTM5",0
"812",1,"RTMW",0
"813",1,"RUF2",0
"814",1,"RUFF",0
"815",1,"RY34",1
"816",1,"RZLR",0
"817",1,"SBDO",0
"818",1,"SBOK",0
"819",1,"SBPE",0
"820",1,"SBPN",0
"821",1,"SBUK",0
"822",1,"SCBT",0
"823",1,"SCNE",0
"824",1,"SCS1",0
"825",1,"SCS2",2.5
"826",1,"SCSM",1.33333333333333
"827",1,"SCTN",0
"828",1,"SCUP",0
"829",1,"SDSW",0
"830",1,"SEE1",0
"831",1,"SEWL",0
